TEST register get req
0x0000: 7c
0x6caa: ff
0x6cab: ff
0x6cac: ff
0x6cad: ff
0x6cae: ff
0x6caf: ff
0x6cb0: ff
0x6cb1: ff
0x6cb2: ff
0x6cb3: ff
0x6cb4: ff
0x6cb5: ff
0x6cb6: ff
0x6cb7: ff
0x6cb8: ff
0x6cb9: ff
0x6cba: ff
0x6cbb: ff
0x6cbc: ff
0x6cbd: ff
0x6cbe: ff
0x6cbf: ff
0x6cc0: ff
0x6cc1: ff
0x6cc2: ff
0x6cc3: ff
0x6cc4: ff
0x6cc5: ff
0x6cc6: ff
0x6cc7: ff
0x6cc8: ff
0x6cc9: ff
0x6cca: ff
0x6ccb: ff
0x6ccc: ff
0x6ccd: ff
0x6cce: ff
0x6ccf: ff
0x6cd0: ff
0x6cd1: ff
0x6cd2: ff
0x6cd3: ff
0x6cd4: ff
0x6cd5: ff
0x6cd6: ff
0x6cd7: ff
0x6cd8: ff
0x6cd9: ff
0x6cda: ff
0x6cdb: ff
0x6cdc: ff
0x6cdd: ff
0x6cde: ff
0x6cdf: ff
0x6ce0: ff
0x6ce1: ff
0x6ce2: ff
0x6ce3: ff
0x6ce4: ff
0x6ce5: ff
0x6ce6: ff
0x6ce7: ff
0x6ce8: ff
0x6ce9: ff
0x6cea: ff
0x6ceb: ff
0x6cec: ff
0x6ced: ff
0x6cee: ff
0x6cef: ff
0x6cf0: ff
0x6cf1: ff
0x6cf2: ff
0x6cf3: ff
0x6cf4: ff
0x6cf5: ff
0x6cf6: ff
0x6cf7: ff
0x6cf8: ff
0x6cf9: ff
0x6cfa: ff
0x6cfb: ff
0x6cfc: ff
0x6cfd: ff
0x6cfe: ff
0x6cff: ff
0x6d00: ff
0x6d01: ff
0x6d02: ff
0x6d03: ff
0x6d04: ff
0x6d05: ff
0x6d06: ff
0x6d07: ff
0x6d08: ff
0x6d09: ff
0x6d0a: ff
0x6d0b: ff
0x6d0c: ff
0x6d0d: ff
0x6d0e: ff
0x6d0f: ff
0x6d10: ff
0x6d11: ff
0x6d12: ff
0x6d13: ff
0x6d14: ff
0x6d15: ff
0x6d16: ff
0x6d17: ff
0x6d18: ff
0x6d19: ff
0x6d1a: ff
0x6d1b: ff
0x6d1c: ff
0x6d1d: ff
0x6d1e: ff
0x6d1f: ff
0x6d20: ff
0x6d21: ff
0x6d22: ff
0x6d23: ff
0x6d24: ff
0x6d25: ff
0x6d26: ff
0x6d27: ff
0x6d28: ff
0x6d29: ff
0x6d2a: ff
0x6d2b: ff
0x6d2c: ff
0x6d2d: ff
0x6d2e: ff
0x6d2f: ff
0x6d30: ff
0x6d31: ff
0x6d32: ff
0x6d33: ff
0x6d34: ff
0x6d35: ff
0x6d36: ff
0x6d37: ff
0x6d38: ff
0x6d39: ff
0x6d3a: ff
0x6d3b: ff
0x6d3c: ff
0x6d3d: ff
0x6d3e: ff
0x6d3f: ff
0x6d40: ff
0x6d41: ff
0x6d42: ff
0x6d43: ff
0x6d44: ff
0x6d45: ff
0x6d46: ff
0x6d47: ff
0x6d48: ff
0x6d49: ff
0x6d4a: ff
0x6d4b: ff
0x6d4c: ff
0x6d4d: ff
0x6d4e: ff
0x6d4f: ff
0x6d50: ff
0x6d51: ff
0x6d52: ff
0x6d53: ff
0x6d54: ff
0x6d55: ff
0x6d56: ff
0x6d57: ff
0x6d58: ff
0x6d59: ff
0x6d5a: ff
0x6d5b: ff
0x6d5c: ff
0x6d5d: ff
0x6d5e: ff
0x6d5f: ff
0x6d60: ff
0x6d61: ff
0x6d62: ff
0x6d63: ff
0x6d64: ff
0x6d65: ff
0x6d66: ff
0x6d67: ff
0x6d68: ff
0x6d69: ff
0x6d6a: ff
0x6d6b: ff
0x6d6c: ff
0x6d6d: ff
0x6d6e: ff
0x6d6f: ff
0x6d70: ff
0x6d71: ff
0x6d72: ff
0x6d73: ff
0x6d74: ff
0x6d75: ff
0x6d76: ff
0x6d77: ff
0x6d78: ff
0x6d79: ff
0x6d7a: ff
0x6d7b: ff
0x6d7c: ff
0x6d7d: ff
0x6d7e: ff
0x6d7f: ff
0x6d80: ff
0x6d81: ff
0x6d82: ff
0x6d83: ff
0x6d84: ff
0x6d85: ff
0x6d86: ff
0x6d87: ff
0x6d88: ff
0x6d89: ff
0x6d8a: ff
0x6d8b: ff
0x6d8c: ff
0x6d8d: ff
0x6d8e: ff
0x6d8f: ff
0x6d90: ff
0x6d91: ff
0x6d92: ff
0x6d93: ff
0x6d94: ff
0x6d95: ff
0x6d96: ff
0x6d97: ff
0x6d98: ff
0x6d99: ff
0x6d9a: ff
0x6d9b: ff
0x6d9c: ff
0x6d9d: ff
0x6d9e: ff
0x6d9f: ff
0x6da0: ff
0x6da1: ff
0x6da2: ff
0x6da3: ff
0x6da4: ff
0x6da5: ff
0x6da6: ff
0x6da7: ff
0x6da8: ff
0x6da9: ff
0x6daa: ff
0x6dab: ff
0x6dac: ff
0x6dad: ff
0x6dae: ff
0x6daf: ff
0x6db0: ff
0x6db1: ff
0x6db2: ff
0x6db3: ff
0x6db4: ff
0x6db5: ff
0x6db6: ff
0x6db7: ff
0x6db8: ff
0x6db9: ff
0x6dba: ff
0x6dbb: ff
0x6dbc: ff
0x6dbd: ff
0x6dbe: ff
0x6dbf: ff
0x6dc0: ff
0x6dc1: ff
0x6dc2: ff
0x6dc3: ff
0x6dc4: ff
0x6dc5: ff
0x6dc6: ff
0x6dc7: ff
0x6dc8: ff
0x6dc9: ff
0x6dca: ff
0x6dcb: ff
0x6dcc: ff
0x6dcd: ff
0x6dce: ff
0x6dcf: ff
0x6dd0: ff
0x6dd1: ff
0x6dd2: ff
0x6dd3: ff
0x6dd4: ff
0x6dd5: ff
0x6dd6: ff
0x6dd7: ff
0x6dd8: ff
0x6dd9: ff
0x6dda: ff
0x6ddb: ff
0x6ddc: ff
0x6ddd: ff
0x6dde: ff
0x6ddf: ff
0x6de0: ff
0x6de1: ff
0x6de2: ff
0x6de3: ff
0x6de4: ff
0x6de5: ff
0x6de6: ff
0x6de7: ff
0x6de8: ff
0x6de9: ff
0x6dea: ff
0x6deb: ff
0x6dec: ff
0x6ded: ff
0x6dee: ff
0x6def: ff
0x6df0: ff
0x6df1: ff
0x6df2: ff
0x6df3: ff
0x6df4: ff
0x6df5: ff
0x6df6: ff
0x6df7: ff
0x6df8: ff
0x6df9: ff
0x6dfa: ff
0x6dfb: ff
0x6dfc: ff
0x6dfd: ff
0x6dfe: ff
0x6dff: ff
0x6e00: 3f
0x6e01: ff
0x6e02: ff
0x6e03: ff
0x6e04: ff
0x6e05: ff
0x6e06: ff
0x6e07: ff
0x6e08: ff
0x6e09: ff
0x6e0a: ff
0x6e0b: ff
0x6e0c: ff
0x6e0d: ff
0x6e0e: ff
0x6e0f: ff
0x6e10: 02
0x6e11: 12
0x6e12: 01
0x6e13: 00
0x6e14: 19
0x6e15: 88
0x6e16: 02
0x6e17: 04
0x6e18: 00
0x6e19: 00
0x6e1a: 00
0x6e1b: 00
0x6e1c: 00
0x6e1d: 00
0x6e1e: 00
0x6e1f: 00
0x6e20: 03
0x6e21: 77
0x6e22: 82
0x6e23: 9a
0x6e24: 07
0x6e25: 05
0x6e26: 06
0x6e27: bb
0x6e28: 00
0x6e29: 00
0x6e2a: 00
0x6e2b: 00
0x6e2c: 00
0x6e2d: 00
0x6e2e: 00
0x6e2f: 00
0x6e30: 7c
0x6e31: 11
0x6e32: 11
0x6e33: 30
0x6e34: e2
0x6e35: 20
0x6e36: 01
0x6e37: 2c
0x6e38: 11
0x6e39: 00
0x6e3a: 00
0x6e3b: 00
0x6e3c: 00
0x6e3d: 00
0x6e3e: 00
0x6e3f: 00
0x6e40: 03
0x6e41: 77
0x6e42: 82
0x6e43: 9a
0x6e44: 07
0x6e45: 01
0x6e46: 06
0x6e47: bc
0x6e48: 00
0x6e49: 00
0x6e4a: 00
0x6e4b: 00
0x6e4c: 00
0x6e4d: 00
0x6e4e: 00
0x6e4f: 00
0x6e50: 20
0x6e51: bc
0x6e52: 08
0x6e53: 40
0x6e54: 4d
0x6e55: 04
0x6e56: 02
0x6e57: 01
0x6e58: 47
0x6e59: 00
0x6e5a: 00
0x6e5b: 00
0x6e5c: 00
0x6e5d: 00
0x6e5e: 00
0x6e5f: 00
0x6e60: 30
0x6e61: 2d
0x6e62: 9a
0x6e63: 9f
0x6e64: e1
0x6e65: 1e
0x6e66: 40
0x6e67: 00
0x6e68: 00
0x6e69: 09
0x6e6a: 00
0x6e6b: 00
0x6e6c: 00
0x6e6d: 00
0x6e6e: 00
0x6e6f: 00
0x6e70: 40
0x6e71: 09
0x6e72: 4b
0x6e73: 34
0x6e74: 30
0x6e75: 30
0x6e76: 20
0x6e77: 50
0x6e78: 6c
0x6e79: 75
0x6e7a: 73
0x6e7b: 00
0x6e7c: 00
0x6e7d: 00
0x6e7e: 00
0x6e7f: 00
0x6e80: ff
0x6e81: ff
0x6e82: ff
0x6e83: ff
0x6e84: ff
0x6e85: ff
0x6e86: ff
0x6e87: ff
0x6e88: ff
0x6e89: ff
0x6e8a: ff
0x6e8b: ff
0x6e8c: ff
0x6e8d: ff
0x6e8e: ff
0x6e8f: ff
0x6e90: ff
0x6e91: ff
0x6e92: ff
0x6e93: ff
0x6e94: ff
0x6e95: ff
0x6e96: ff
0x6e97: ff
0x6e98: ff
0x6e99: ff
0x6e9a: ff
0x6e9b: ff
0x6e9c: ff
0x6e9d: ff
0x6e9e: ff
0x6e9f: ff
0x6ea0: ff
0x6ea1: ff
0x6ea2: ff
0x6ea3: ff
0x6ea4: ff
0x6ea5: ff
0x6ea6: ff
0x6ea7: ff
0x6ea8: ff
0x6ea9: ff
0x6eaa: ff
0x6eab: ff
0x6eac: ff
0x6ead: ff
0x6eae: ff
0x6eaf: ff
0x6eb0: ff
0x6eb1: ff
0x6eb2: ff
0x6eb3: ff
0x6eb4: ff
0x6eb5: ff
0x6eb6: ff
0x6eb7: ff
0x6eb8: ff
0x6eb9: ff
0x6eba: ff
0x6ebb: ff
0x6ebc: ff
0x6ebd: ff
0x6ebe: ff
0x6ebf: ff
0x6ec0: ff
0x6ec1: ff
0x6ec2: ff
0x6ec3: ff
0x6ec4: ff
0x6ec5: ff
0x6ec6: ff
0x6ec7: ff
0x6ec8: ff
0x6ec9: ff
0x6eca: ff
0x6ecb: ff
0x6ecc: ff
0x6ecd: ff
0x6ece: ff
0x6ecf: ff
0x6ed0: ff
0x6ed1: ff
0x6ed2: ff
0x6ed3: ff
0x6ed4: ff
0x6ed5: ff
0x6ed6: ff
0x6ed7: ff
0x6ed8: ff
0x6ed9: ff
0x6eda: ff
0x6edb: ff
0x6edc: ff
0x6edd: ff
0x6ede: ff
0x6edf: ff
0x6ee0: ff
0x6ee1: ff
0x6ee2: ff
0x6ee3: ff
0x6ee4: ff
0x6ee5: ff
0x6ee6: ff
0x6ee7: ff
0x6ee8: ff
0x6ee9: ff
0x6eea: ff
0x6eeb: ff
0x6eec: ff
0x6eed: ff
